Athlete,2014 Pay,Salary/Winnings,Endorsements,Sport
Floyd Mayweather,$105 M,$105 M,$0 ,Boxing
Cristiano Ronaldo,$80 M,$52 M,$28 M,Soccer
LeBron James,$72.3 M,$19.3 M,$53 M,Basketball
Lionel Messi,$64.7 M,$41.7 M,$23 M,Soccer
Kobe Bryant,$61.5 M,$30.5 M,$31 M,Basketball
Tiger Woods,$61.2 M,$6.2 M,$55 M,Golf
Roger Federer,$56.2 M,$4.2 M,$52 M,Tennis
Phil Mickelson,$53.2 M,$5.2 M,$48 M,Golf
Rafael Nadal,$44.5 M,$14.5 M,$30 M,Tennis
Matt Ryan,$43.8 M,$42 M,$1.8 M,Football
Manny Pacquiao,$41.8 M,$41 M,$0.8 M,Boxing
Zlatan Ibrahimovic,$40.4 M,$36.4 M,$4 M,Soccer
Derrick Rose,$36.6 M,$17.6 M,$19 M,Basketball
Gareth Bale,$36.4 M,$25.4 M,$11 M,Soccer
Radamel Falcao,$35.4 M,$32.4 M,$3 M,Soccer
Neymar,$33.6 M,$17.6 M,$16 M,Soccer
Novak Djokovic,$33.1 M,$12.1 M,$21 M,Tennis
Matthew Stafford,$33 M,$31.5 M,$1.5 M,Football
Lewis Hamilton,$32 M,$29 M,$3 M,Racing
Kevin Durant,$31.9 M,$17.9 M,$14 M,Basketball
Fernando Alonso,$31 M,$29 M,$2 M,Racing
Mahendra Singh Dhoni,$30 M,$4 M,$26 M,Cricket
Dwyane Wade,$29.9 M,$18.9 M,$11 M,Basketball
Carmelo Anthony,$29.4 M,$21.4 M,$8 M,Basketball
Wladimir Klitschko,$28 M,$24 M,$4 M,Boxing
Peyton Manning,$27.1 M,$15.1 M,$12 M,Football
Amar'e Stoudemire,$26.7 M,$21.7 M,$5 M,Basketball
"Dale Earnhardt, Jr.",$25.9 M,$14.9 M,$11 M,Racing
Dwight Howard,$25.5 M,$20.5 M,$5 M,Basketball
Cliff Lee,$25.3 M,$25.1 M,$200 K,Baseball
Joe Mauer,$24.8 M,$23 M,$1.8 M,Baseball
Miguel Cabrera,$24.6 M,$22.6 M,$2 M,Baseball
Zack Greinke,$24.5 M,$24.4 M,$50 K,Baseball
Maria Sharapova,$24.4 M,$2.4 M,$22 M,Tennis
Derek Jeter,$24.3 M,$15.3 M,$9 M,Baseball
Rory McIlroy,$24.3 M,$4.3 M,$20 M,Golf
Chris Paul,$24.2 M,$18.7 M,$5.5 M,Basketball
CC Sabathia,$24.2 M,$23 M,$1.2 M,Baseball
Prince Fielder,$23.9 M,$23.5 M,$400 K,Baseball
Darrelle Revis,$23.8 M,$23 M,$0.8 M,Football
Li Na,$23.6 M,$5.6 M,$18 M,Tennis
Jimmie Johnson,$23.5 M,$17 M,$6.5 M,Racing
Wayne Rooney,$23.4 M,$18.4 M,$5 M,Soccer
Sergio Aguero,$23.3 M,$18.3 M,$5 M,Soccer
Usain Bolt,$23.2 M,$200 K,$23 M,Track
Dirk Nowitzki,$23.2 M,$22.7 M,$0.5 M,Basketball
Blake Griffin,$23 M,$16.5 M,$6.5 M,Basketball
Alex Rodriguez,$22.9 M,$22.6 M,$300 K,Baseball
Johan Santana,$22.9 M,$22.5 M,$400 K,Baseball
Mark Teixeira,$22.7 M,$22.5 M,$200 K,Baseball
Matt Kemp,$22.6 M,$21.8 M,$0.8 M,Baseball
Joe Johnson,$22.5 M,$21.5 M,$1 M,Basketball
Geno Atkins,$22.4 M,$22.3 M,$50 K,Football
Ryan Howard,$22.4 M,$21.7 M,$0.7 M,Baseball
Aaron Rodgers,$22 M,$14.5 M,$7.5 M,Football
Serena Williams,$22 M,$11 M,$11 M,Tennis
Chris Bosh,$21.8 M,$19.3 M,$2.5 M,Basketball
Pau Gasol,$21.8 M,$19.3 M,$2.5 M,Basketball
Yaya Tour‚,$21.7 M,$19.2 M,$2.5 M,Soccer
Robinson Cano,$21.5 M,$18 M,$3.5 M,Baseball
Adrian Gonzalez,$21.5 M,$21.1 M,$400 K,Baseball
Joe Haden,$21.4 M,$21.2 M,$150 K,Football
Fernando Torres,$21.3 M,$17.8 M,$3.5 M,Soccer
Henrik Stenson,$21.2 M,$18 M,$3.2 M,Golf
Vernon Wells,$21.1 M,$21 M,$100 K,Baseball
Canelo Alvarez,$21 M,$19.5 M,$1.5 M,Boxing
Drew Brees,$21 M,$10 M,$11 M,Football
Eli Manning,$21 M,$13.5 M,$7.5 M,Football
Julius Peppers,$20.8 M,$20.4 M,$400 K,Football
Cole Hamels,$20.7 M,$20.5 M,$200 K,Baseball
Jason Peters,$20.7 M,$20.7 M,$50 K,Football
Justin Verlander,$20.7 M,$20.2 M,$0.5 M,Baseball
Tim Lincecum,$20.6 M,$20.3 M,$250 K,Baseball
Carl Crawford,$20.5 M,$20.2 M,$300 K,Baseball
Matt Cain,$20.4 M,$20 M,$400 K,Baseball
Barry Zito,$20.4 M,$20.3 M,$100 K,Baseball
Felix Hernandez,$20.3 M,$20.1 M,$200 K,Baseball
Albert Pujols,$20.3 M,$18.3 M,$2 M,Baseball
Deron Williams,$20 M,$18.5 M,$1.5 M,Basketball
David Ortiz,$19.8 M,$14.8 M,$5 M,Baseball
Robin van Persie,$19.5 M,$16.5 M,$3 M,Soccer
Russell Westbrook,$19.2 M,$14.7 M,$4.5 M,Basketball
Sebastian Vettel,$19 M,$18 M,$1 M,Racing
Carlos Dunlap,$18.8 M,$18.7 M,$50 K,Football
Zach Randolph,$18.8 M,$18.3 M,$0.5 M,Basketball
Steven Gerrard,$18.7 M,$13.2 M,$5.5 M,Soccer
Jeff Gordon,$18.7 M,$13.7 M,$5 M,Racing
Rudy Gay,$18.6 M,$17.9 M,$0.7 M,Basketball
Larry Fitzgerald,$18.5 M,$17 M,$1.5 M,Football
Mesut Ozil,$18.5 M,$12.5 M,$6 M,Soccer
Branden Albert,$18.4 M,$18.4 M,$35 K,Football
Franck Rib‚ry,$18.3 M,$16.8 M,$1.5 M,Soccer
Alfonso Soriano,$18.1 M,$18 M,$50 K,Baseball
Jairus Byrd,$18 M,$17.9 M,$100 K,Football
Adam Scott,$17.7 M,$8.7 M,$9 M,Golf
Terrell Suggs,$17.6 M,$17.4 M,$200 K,Football
Brandon Marshall,$17.5 M,$16.8 M,$0.7 M,Football
Jayson Werth,$17.5 M,$17.3 M,$200 K,Baseball
Matt Holliday,$17.4 M,$17.2 M,$200 K,Baseball
Luis Suarez,$17.3 M,$13.3 M,$4 M,Soccer
